t_ps,Delta_live_meV,Delta_fold_of_A_meV,g1,A_um_inv,lorentzian,mu_nl_meV
1.340000000000000080e-01,6.009254091406296405e-01,2.227039527954284281e-01,8.740409717167115788e-01,1.423212000955122125e+00,9.990493689176225267e-01,-5.071600200507995343e-02
1.360000000000000098e-01,6.009546931674650816e-01,2.225515129461572150e-01,8.740602360179979824e-01,1.423524711385302899e+00,9.989883144951831051e-01,-5.057761268890836881e-02
1.380000000000000115e-01,6.009844972065797597e-01,2.223990425359946566e-01,8.740797785994106617e-01,1.423837484507158635e+00,9.989242310254549118e-01,-5.044170333427516056e-02
1.400000000000000133e-01,6.010148274430713311e-01,2.222465420189154162e-01,8.740995285218321476e-01,1.424150319389419606e+00,9.988570026720713368e-01,-5.033252361937778224e-02
1.420000000000000151e-01,6.010456901529431795e-01,2.220940118714267442e-01,8.741193382624090624e-01,1.424463215054593501e+00,9.987865100181940736e-01,-5.024970883733089616e-02
1.440000000000000169e-01,6.010770917794092671e-01,2.219414525933241233e-01,8.741390849509779182e-01,1.424776170477415116e+00,9.987126297903150540e-01,-5.014039444486335928e-02
1.459999999999999909e-01,6.011090387868427420e-01,2.217888647084503007e-01,8.741587055849222576e-01,1.425089184583289592e+00,9.986352350945739698e-01,-4.994596763447836651e-02
1.479999999999999927e-01,6.011415372491722975e-01,2.216362487653980862e-01,8.741782744922315107e-01,1.425402256246850463e+00,9.985541963844281055e-01,-4.969878932712374492e-02
1.499999999999999944e-01,6.011745925898118736e-01,2.214836053381497583e-01,8.741979830140644836e-01,1.425715384290648036e+00,9.984693822132890695e-01,-4.951608065237776690e-02
1.519999999999999962e-01,6.012082098472043556e-01,2.213309350267361197e-01,8.742179497788674647e-01,1.426028567483797582e+00,9.983806587029325774e-01,-4.944379735519405933e-02
1.539999999999999980e-01,6.012423940642228626e-01,2.211782384579638883e-01,8.742380955208437499e-01,1.426341804540486979e+00,9.982878885631396582e-01,-4.939548539676563016e-02
1.559999999999999998e-01,6.012771502319037564e-01,2.210255162861417821e-01,8.742582312868396599e-01,1.426655094118487455e+00,9.981909312002992252e-01,-4.928741516524381278e-02
1.580000000000000016e-01,6.013124829838299990e-01,2.208727691937368010e-01,8.742782310477210661e-01,1.426968434817807108e+00,9.980896435769536224e-01,-4.911247492821266269e-02
1.600000000000000033e-01,6.013483964368843138e-01,2.207199978919698324e-01,8.742981301525212245e-01,1.427281825179469221e+00,9.979838807804760625e-01,-4.887826604975525902e-02
1.620000000000000051e-01,6.013848940585386771e-01,2.205672031213420647e-01,8.743180952060671807e-01,1.427595263684432458e+00,9.978734965940054824e-01,-4.861667059860909357e-02
1.640000000000000069e-01,6.014219785273507979e-01,2.204143856520731082e-01,8.743383009672173189e-01,1.427908748752691803e+00,9.977583441636228567e-01,-4.841281528614684720e-02
1.660000000000000087e-01,6.014596518598597230e-01,2.202615462845210759e-01,8.743588133832372877e-01,1.428222278742417251e+00,9.976382758872853751e-01,-4.829651825978147073e-02
1.680000000000000104e-01,6.014979155887004714e-01,2.201086858496088261e-01,8.743795359434092251e-01,1.428535851949079172e+00,9.975131430856579717e-01,-4.820303149823586958e-02
1.700000000000000122e-01,6.015367705502633333e-01,2.199558052091374061e-01,8.744002435871958134e-01,1.428849466604805274e+00,9.973827969215692812e-01,-4.811726924388105148e-02
1.720000000000000140e-01,6.015762165979402498e-01,2.198029052559322682e-01,8.744207617587635983e-01,1.429163120878080839e+00,9.972470896983356425e-01,-4.808365917955502444e-02
1.740000000000000158e-01,6.016162527246194935e-01,2.196499869139486583e-01,8.744411752883224365e-01,1.429476812873532454e+00,9.971058748608254696e-01,-4.803761588894165518e-02
1.759999999999999898e-01,6.016568772442264512e-01,2.194970511383690925e-01,8.744617599341297787e-01,1.429790540631727946e+00,9.969590067340170503e-01,-4.784592514643844219e-02
1.779999999999999916e-01,6.016980876246985632e-01,2.193440989155616694e-01,8.744826604830198136e-01,1.430104302129262095e+00,9.968063414869084982e-01,-4.752748842425005144e-02
1.799999999999999933e-01,6.017398803313568356e-01,2.191911312628818109e-01,8.745037499783542279e-01,1.430418095279163193e+00,9.966477381605683972e-01,-4.724194591760919049e-02
1.819999999999999951e-01,6.017822509412419363e-01,2.190381492284223519e-01,8.745248020752666163e-01,1.430731917931405750e+00,9.964830587327300204e-01,-4.708733076904259018e-02
1.839999999999999969e-01,6.018251941289650686e-01,2.188851538906587124e-01,8.745456515583148738e-01,1.431045767873638352e+00,9.963121686534424093e-01,-4.703606950399040476e-02
1.859999999999999987e-01,6.018687033168675926e-01,2.187321463578165981e-01,8.745662262844657864e-01,1.431359642832480850e+00,9.961349387873333905e-01,-4.699358192881530200e-02
1.880000000000000004e-01,6.019127703520453787e-01,2.185791277669308641e-01,8.745866182804573619e-01,1.431673540475454809e+00,9.959512474583021024e-01,-4.685499783988725242e-02
1.900000000000000022e-01,6.019573855127838824e-01,2.184260992827316006e-01,8.746071217083850602e-01,1.431987458413268577e+00,9.957609812809096184e-01,-4.658930652926727978e-02
1.920000000000000040e-01,6.020025377992577198e-01,2.182730620965113999e-01,8.746280385865257134e-01,1.432301394202141198e+00,9.955640347582638272e-01,-4.626444849189112474e-02
1.940000000000000058e-01,6.020482152749161431e-01,2.181200174250336188e-01,8.746493857130656080e-01,1.432615345346041513e+00,9.953603095015033375e-01,-4.595306796106711500e-02
1.960000000000000075e-01,6.020944051936043540e-01,2.179669665093921793e-01,8.746708105328725447e-01,1.432929309299027620e+00,9.951497142489633685e-01,-4.571260924856344193e-02
1.980000000000000093e-01,6.021410939326516942e-01,2.178139106137146619e-01,8.746918242759752493e-01,1.433243283467906970e+00,9.949321657324436963e-01,-4.562979319751555435e-02
2.000000000000000111e-01,6.021882669833322765e-01,2.176608510237359462e-01,8.747122117507979411e-01,1.433557265215162468e+00,9.947075893153288773e-01,-4.568752143019695622e-02
2.020000000000000129e-01,6.022359088806031879e-01,2.175077890451991292e-01,8.747322680076974333e-01,1.433871251862232743e+00,9.944759199418568008e-01,-4.566248218680388909e-02
2.040000000000000147e-01,6.022840027777921490e-01,2.173547260018299510e-01,8.747525582194964899e-01,1.434185240693667485e+00,9.942371049170827257e-01,-4.539472692838184692e-02
2.060000000000000164e-01,6.023325300402810889e-01,2.172016632328412911e-01,8.747734137730841519e-01,1.434499228962246464e+00,9.939911068604347921e-01,-4.503562282835484043e-02
2.080000000000000182e-01,6.023814704739339776e-01,2.170486020903755198e-01,8.747947102573971900e-01,1.434813213894226225e+00,9.937379036060032256e-01,-4.480850056848511426e-02
2.099999999999999922e-01,6.024308029743488113e-01,2.168955439372284022e-01,8.748160517805336767e-01,1.435127192694009457e+00,9.934774857249618618e-01,-4.472318352510130934e-02
2.119999999999999940e-01,6.024805060054491124e-01,2.167424901448055385e-01,8.748370470729160964e-01,1.435441162548336758e+00,9.932098545677277013e-01,-4.471243581625485713e-02
2.139999999999999958e-01,6.025305578709267973e-01,2.165894420912118368e-01,8.748575320873493988e-01,1.435755120630205939e+00,9.929350211449494701e-01,-4.477236615097684308e-02
2.159999999999999976e-01,6.025809368482273332e-01,2.164364011593992165e-01,8.748777384540026292e-01,1.436069064102671877e+00,9.926530056019974291e-01,-4.479558966822966976e-02
2.179999999999999993e-01,6.026316209739197571e-01,2.162833687351001233e-01,8.748982133425790009e-01,1.436382990123085568e+00,9.923638386031478076e-01,-4.456237725354771778e-02
2.200000000000000011e-01,6.026825877225340244e-01,2.161303462044287804e-01,8.749194148923468140e-01,1.436696895848014854e+00,9.920675634673374876e-01,-4.404720993571391296e-02
2.220000000000000029e-01,6.027338141594066334e-01,2.159773349515276275e-01,8.749413251675253189e-01,1.437010778438072345e+00,9.917642356688576299e-01,-4.349419590199501973e-02
2.240000000000000047e-01,6.027852773500245176e-01,2.158243363565145734e-01,8.749634186271545433e-01,1.437324635062126488e+00,9.914539206673241845e-01,-4.313436762288017090e-02
2.260000000000000064e-01,6.028369543567955180e-01,2.156713517934061575e-01,8.749849865334594634e-01,1.437638462901561942e+00,9.911366940131834946e-01,-4.303467427279658586e-02
2.280000000000000082e-01,6.028888220763409800e-01,2.155183826278657400e-01,8.750056457417654254e-01,1.437952259154898771e+00,9.908126424464683835e-01,-4.316895256650840618e-02
2.300000000000000100e-01,6.029408576680824750e-01,2.153654302153349687e-01,8.750257186922536512e-01,1.438266021041625597e+00,9.904818612973180780e-01,-4.339403816853630580e-02
2.320000000000000118e-01,6.029930393451360393e-01,2.152085879089861709e-01,8.750460772807214793e-01,1.438579745804379195e+00,9.901444492293194344e-01,-4.342328101420817044e-02
2.340000000000000135e-01,6.030453466625467218e-01,2.150454215635372868e-01,8.750674747417227506e-01,1.438893430710296517e+00,9.898005057826970710e-01,-4.306178624405689048e-02
2.360000000000000153e-01,6.030977602617012545e-01,2.148822773579719125e-01,8.750899852913279764e-01,1.439207073052612529e+00,9.894501323803643889e-01,-4.243840928297095555e-02
2.380000000000000171e-01,6.031502617523197829e-01,2.147191566858267231e-01,8.751130092725309950e-01,1.439520670152273363e+00,9.890934325483543565e-01,-4.186233293862555438e-02
2.399999999999999911e-01,6.032028338959836145e-01,2.145560609257144147e-01,8.751356601443183170e-01,1.439834219358916423e+00,9.887305101063905699e-01,-4.152938006981125169e-02
2.419999999999999929e-01,6.032554606509764605e-01,2.143929914410057924e-01,8.751572102184630442e-01,1.440147718051481229e+00,9.883614682108360361e-01,-4.147735910631403927e-02
2.439999999999999947e-01,6.033081270064059032e-01,2.142299495794585396e-01,8.751774978640565195e-01,1.440461163638923514e+00,9.879864098747619394e-01,-4.168681205929083283e-02
2.459999999999999964e-01,6.033608190477083300e-01,2.140669366730538203e-01,8.751971164080150078e-01,1.440774553560528970e+00,9.876054369067289729e-01,-4.204610390364440370e-02
2.479999999999999982e-01,6.034135243666955972e-01,2.139039540384857496e-01,8.752171169828164565e-01,1.441087885284972447e+00,9.872186462568063314e-01,-4.228877557028586087e-02
2.500000000000000000e-01,6.034662323693584796e-01,2.137410029782335907e-01,8.752383576003265331e-01,1.441401156308256715e+00,9.868261268619153981e-01,-4.213835896179957824e-02
2.520000000000000018e-01,6.035189342233003851e-01,2.135780847817883854e-01,8.752610058904868318e-01,1.441714364151354122e+00,9.864279590354690930e-01,-4.154878369993702386e-02
2.540000000000000036e-01,6.035716227126403099e-01,2.134152007269052576e-01,8.752845019853472408e-01,1.442027506357799194e+00,9.860242146093102233e-01,-4.076204998366699667e-02
2.560000000000000053e-01,6.036242922277620382e-01,2.132523520810400697e-01,8.753079046638916338e-01,1.442340580490926616e+00,9.856149561195056696e-01,-4.013517881874049953e-02
2.580000000000000071e-01,6.036769387622661354e-01,2.130895401029797298e-01,8.753304058981575819e-01,1.442653584130737077e+00,9.852002359475029447e-01,-3.990703907411829315e-02
2.600000000000000089e-01,6.037295598232548244e-01,2.129267660445422483e-01,8.753517358079475619e-01,1.442966514870628769e+00,9.847800961665295061e-01,-4.008314548518069481e-02
