A_over_Ac,Gamma_sch_ps_inv,T_K,Gamma_thermal,Gamma_total
8.414572864321607781e-01,1.420921165066479051e-02,7.095477386934673225e-01,2.847235345671279491e-02,2.847235398627534497e-02
8.459798994974874198e-01,1.457357846191700661e-02,7.133165829145728942e-01,2.895953538694845050e-02,2.895953591651100056e-02
8.505025125628140614e-01,1.494368909004376196e-02,7.170854271356783549e-01,2.944980083193147677e-02,2.944980136149402683e-02
8.550251256281407031e-01,1.531956512599855907e-02,7.208542713567839266e-01,2.994310941991504618e-02,2.994310994947759624e-02
8.595477386934673447e-01,1.570122752392312179e-02,7.246231155778894983e-01,3.043942087298209809e-02,3.043942140254464815e-02
8.640703517587939864e-01,1.608869660757406700e-02,7.283919597989949590e-01,3.093869501781389489e-02,3.093869554737644495e-02
8.685929648241206280e-01,1.648199207683190629e-02,7.321608040201005307e-01,3.144089179602406470e-02,3.144089232558661129e-02
8.731155778894472697e-01,1.688113301428506921e-02,7.359296482412059914e-01,3.194597127406953452e-02,3.194597180363208111e-02
8.776381909547739113e-01,1.728613789188173863e-02,7.396984924623115631e-01,3.245389365274971294e-02,3.245389418231225953e-02
8.821608040201005529e-01,1.769702457764274831e-02,7.434673366834171349e-01,3.296461927630461863e-02,3.296461980586716523e-02
8.866834170854271946e-01,1.811381034242895774e-02,7.472361809045225955e-01,3.347810864112336915e-02,3.347810917068591574e-02
8.912060301507537252e-01,1.853651186675676216e-02,7.510050251256281673e-01,3.399432240407303935e-02,3.399432293363558594e-02
8.957286432160803669e-01,1.896514524765584644e-02,7.547738693467336279e-01,3.451322139045877313e-02,3.451322192002131972e-02
9.002512562814070085e-01,1.939972600556306992e-02,7.585427135678391997e-01,3.503476660162586909e-02,3.503476713118841568e-02
9.047738693467336502e-01,1.984026909124733673e-02,7.623115577889447714e-01,3.555891922221295076e-02,3.555891975177549735e-02
9.092964824120602918e-01,2.028678889275976199e-02,7.660804020100502321e-01,3.608564062706727527e-02,3.608564115662982186e-02
9.138190954773869334e-01,2.073929924240429379e-02,7.698492462311558038e-01,3.661489238783131872e-02,3.661489291739386531e-02
9.183417085427135751e-01,2.119781342372379501e-02,7.736180904522613755e-01,3.714663627921050565e-02,3.714663680877305224e-02
9.228643216080402167e-01,2.166234417849686317e-02,7.773869346733668362e-01,3.768083428493119308e-02,3.768083481449373967e-02
9.273869346733668584e-01,2.213290371374115884e-02,7.811557788944724079e-01,3.821744860339853361e-02,3.821744913296108020e-02
9.319095477386935000e-01,2.260950370871868398e-02,7.849246231155778686e-01,3.875644165306298822e-02,3.875644218262553481e-02
9.364321608040201417e-01,2.309215532193925613e-02,7.886934673366834403e-01,3.929777607750414847e-02,3.929777660706669506e-02
9.409547738693467833e-01,2.358086919815807064e-02,7.924623115577890120e-01,3.984141475024095130e-02,3.984141527980349790e-02
9.454773869346734250e-01,2.407565547536374279e-02,7.962311557788944727e-01,4.038732077927643244e-02,4.038732130883897903e-02
9.499999999999999556e-01,2.457652379175337756e-02,8.000000000000000444e-01,4.093545751138533834e-02,4.093545804094788493e-02
