t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
3.450000000000000178e+00,1.371377407773626489e+00,2.460359874341999653e-01,5.918040362255295728e-01,0.000000000000000000e+00
3.500000000000000000e+00,1.371370050407345387e+00,2.460391013993999676e-01,5.919599200481655554e-01,0.000000000000000000e+00
3.550000000000000266e+00,1.371363359524548686e+00,2.460419332601999909e-01,5.921017094538203462e-01,0.000000000000000000e+00
3.600000000000000089e+00,1.371357274866986442e+00,2.460445085261999676e-01,5.922306741537253227e-01,0.000000000000000000e+00
3.650000000000000355e+00,1.371351741604388108e+00,2.460468504072000073e-01,5.923479702216020160e-01,0.000000000000000000e+00
3.700000000000000178e+00,1.371346709848742407e+00,2.460489800213999934e-01,5.924546502376275559e-01,0.000000000000000000e+00
3.750000000000000000e+00,1.371342134211923414e+00,2.460509165820000121e-01,5.925516724011594683e-01,0.000000000000000000e+00
3.800000000000000266e+00,1.371337973402256383e+00,2.460526775664000076e-01,5.926399088135242410e-01,0.000000000000000000e+00
3.850000000000000089e+00,1.371334189856480368e+00,2.460542788751999832e-01,5.927201532843862086e-01,0.000000000000000000e+00
3.900000000000000355e+00,1.371330749405070826e+00,2.460557349713999864e-01,5.927931281746086078e-01,0.000000000000000000e+00
3.950000000000000178e+00,1.371327620966809269e+00,2.460570590105999877e-01,5.928594908116959772e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.371324776270771206e+00,2.460582629591999970e-01,5.929198393234071940e-01,0.000000000000000000e+00
4.049999999999999822e+00,1.371322189603248587e+00,2.460593577011999933e-01,5.929747179161509729e-01,0.000000000000000000e+00
4.100000000000000533e+00,1.371319837577233747e+00,2.460603531341999939e-01,5.930246216253529656e-01,0.000000000000000000e+00
4.150000000000000355e+00,1.371317698922207340e+00,2.460612582617999755e-01,5.930700008964303604e-01,0.000000000000000000e+00
4.200000000000000178e+00,1.371315754293509714e+00,2.460620812716000083e-01,5.931112654530077410e-01,0.000000000000000000e+00
4.250000000000000000e+00,1.371313986098245730e+00,2.460628296095999923e-01,5.931487879921552020e-01,0.000000000000000000e+00
4.299999999999999822e+00,1.371312378336986937e+00,2.460635100467999936e-01,5.931829074948242742e-01,0.000000000000000000e+00
4.350000000000000533e+00,1.371310916459625329e+00,2.460641287427999813e-01,5.932139323910032846e-01,0.000000000000000000e+00
4.400000000000000355e+00,1.371309587234756933e+00,2.460646912968000033e-01,5.932421430973622289e-01,0.000000000000000000e+00
4.450000000000000178e+00,1.371308378629914948e+00,2.460652028009999992e-01,5.932677946787268120e-01,0.000000000000000000e+00
4.500000000000000000e+00,1.371307279703180226e+00,2.460656678873999748e-01,5.932911191815469776e-01,0.000000000000000000e+00
4.549999999999999822e+00,1.371306280504767328e+00,2.460660907662000074e-01,5.933123275485009396e-01,0.000000000000000000e+00
4.600000000000000533e+00,1.371305371986796695e+00,2.460664752671999911e-01,5.933316116855319455e-01,0.000000000000000000e+00
4.650000000000000355e+00,1.371304545921903317e+00,2.460668248721999962e-01,5.933491460792021943e-01,0.000000000000000000e+00
4.700000000000000178e+00,1.371303794828760081e+00,2.460671427473999917e-01,5.933650894153724709e-01,0.000000000000000000e+00
4.750000000000000000e+00,1.371303111904520922e+00,2.460674317721999738e-01,5.933795860184627458e-01,0.000000000000000000e+00
4.800000000000000711e+00,1.371302490963418830e+00,2.460676945649999947e-01,5.933927671411977078e-01,0.000000000000000000e+00
4.850000000000000533e+00,1.371301926380876335e+00,2.460679335053999883e-01,5.934047520745181492e-01,0.000000000000000000e+00
4.900000000000000355e+00,1.371301413042362416e+00,2.460681507588000083e-01,5.934156493785429642e-01,0.000000000000000000e+00
4.950000000000000178e+00,1.371300946297511647e+00,2.460683482925999921e-01,5.934255576927010001e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.371300521917707682e+00,2.460685278965999978e-01,5.934345667569895788e-01,0.000000000000000000e+00
5.050000000000000711e+00,1.371300136058032360e+00,2.460686911985999759e-01,5.934427581928027884e-01,0.000000000000000000e+00
5.100000000000000533e+00,1.371299785222553913e+00,2.460688396776000153e-01,5.934502061636872661e-01,0.000000000000000000e+00
5.150000000000000355e+00,1.371299466232440034e+00,2.460689746787999843e-01,5.934569781266192390e-01,0.000000000000000000e+00
5.200000000000000178e+00,1.371299176197282588e+00,2.460690974262000064e-01,5.934631354631186850e-01,0.000000000000000000e+00
5.250000000000000000e+00,1.371298912489121724e+00,2.460692090315999836e-01,5.934687339299242748e-01,0.000000000000000000e+00
5.300000000000000711e+00,1.371298672718395562e+00,2.460693105060000052e-01,5.934738242302135536e-01,0.000000000000000000e+00
5.350000000000000533e+00,1.371298454712333914e+00,2.460694027691999741e-01,5.934784524946288276e-01,0.000000000000000000e+00
5.400000000000000355e+00,1.371298256495406376e+00,2.460694866575999784e-01,5.934826606721324005e-01,0.000000000000000000e+00
5.450000000000000178e+00,1.371298076271444177e+00,2.460695629313999766e-01,5.934864868908010793e-01,0.000000000000000000e+00
5.500000000000000000e+00,1.371297912407302144e+00,2.460696322805999980e-01,5.934899657585286370e-01,0.000000000000000000e+00
5.550000000000000711e+00,1.371297763417808291e+00,2.460696953351999838e-01,5.934931288744420552e-01,0.000000000000000000e+00
5.600000000000000533e+00,1.371297627952899223e+00,2.460697526657999734e-01,5.934960048588037163e-01,0.000000000000000000e+00
5.650000000000000355e+00,1.371297504784882992e+00,2.460698047925999887e-01,5.934986198043272765e-01,0.000000000000000000e+00
5.700000000000000178e+00,1.371297392797632630e+00,2.460698521872000111e-01,5.935009973663190053e-01,0.000000000000000000e+00
5.750000000000000000e+00,1.371297290976164041e+00,2.460698952797999994e-01,5.935031591237659443e-01,0.000000000000000000e+00
5.800000000000000711e+00,1.371297198397758876e+00,2.460699344597999938e-01,5.935051246093382415e-01,0.000000000000000000e+00
5.850000000000000533e+00,1.371297114223214431e+00,2.460699700835999870e-01,5.935069117005925543e-01,0.000000000000000000e+00
5.900000000000000355e+00,1.371297037689767517e+00,2.460700024740000158e-01,5.935085365898162824e-01,0.000000000000000000e+00
5.950000000000000178e+00,1.371296968103888458e+00,2.460700024740000158e-01,5.935085365898162824e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.371296898518012952e+00,2.460700613735999909e-01,5.935114913421337679e-01,0.000000000000000000e+00
6.050000000000000711e+00,1.371296841565821989e+00,2.460700854761999901e-01,5.935127004743804280e-01,0.000000000000000000e+00
6.100000000000000533e+00,1.371296789783539971e+00,2.460700854761999901e-01,5.935127004743804280e-01,0.000000000000000000e+00
6.150000000000000355e+00,1.371296738001259952e+00,2.460701293061999806e-01,5.935148992572270021e-01,0.000000000000000000e+00
6.200000000000000178e+00,1.371296695620354722e+00,2.460701293061999806e-01,5.935148992572270021e-01,0.000000000000000000e+00
6.250000000000000000e+00,1.371296653239450825e+00,2.460701293061999806e-01,5.935148992572270021e-01,0.000000000000000000e+00
6.300000000000000711e+00,1.371296610858548259e+00,2.460701831148000007e-01,5.935175986367093870e-01,0.000000000000000000e+00
6.350000000000000533e+00,1.371296580019430777e+00,2.460701831148000007e-01,5.935175986367093870e-01,0.000000000000000000e+00
6.400000000000000355e+00,1.371296549180314184e+00,2.460702092177999845e-01,5.935189081315813686e-01,0.000000000000000000e+00
6.450000000000000178e+00,1.371296523940229051e+00,2.460702092177999845e-01,5.935189081315813686e-01,0.000000000000000000e+00
6.500000000000000000e+00,1.371296498700144362e+00,2.460702092177999845e-01,5.935189081315813686e-01,0.000000000000000000e+00
6.550000000000000711e+00,1.371296473460060117e+00,2.460702092177999845e-01,5.935189081315813686e-01,0.000000000000000000e+00
6.600000000000000533e+00,1.371296448219976538e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.650000000000000355e+00,1.371296432144925470e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.700000000000000178e+00,1.371296416069874624e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.750000000000000000e+00,1.371296399994824000e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.800000000000000711e+00,1.371296383919773376e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.850000000000000533e+00,1.371296367844722974e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.900000000000000355e+00,1.371296351769672794e+00,2.460702519455999771e-01,5.935210516384717971e-01,0.000000000000000000e+00
6.950000000000000178e+00,1.371296335694622837e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.371296329834561956e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.050000000000000711e+00,1.371296323974501075e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.100000000000000533e+00,1.371296318114440194e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.150000000000000355e+00,1.371296312254379313e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.200000000000000178e+00,1.371296306394318432e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.250000000000000000e+00,1.371296300534257551e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.300000000000000711e+00,1.371296294674196892e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.350000000000000533e+00,1.371296288814136233e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.400000000000000355e+00,1.371296282954075574e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.450000000000000178e+00,1.371296277094014915e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.500000000000000000e+00,1.371296271233954256e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.550000000000000711e+00,1.371296265373893597e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.600000000000000533e+00,1.371296259513832938e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.650000000000000355e+00,1.371296253653772279e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.700000000000000178e+00,1.371296247793711620e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
7.750000000000000000e+00,1.371296249913157128e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
7.800000000000000711e+00,1.371296252032602636e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
7.850000000000000533e+00,1.371296246172542199e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
7.900000000000000355e+00,1.371296248291987707e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
7.950000000000000178e+00,1.371296250411433215e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.371296244551372778e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
