# ell  K  y  alpha  alpha_over_ac
3.433333333333333126e+00 4.271214653921846072e+00 1.290168113641908790e-19 3.704064343778035867e-02 2.035310267494534475e-01
3.466666666666666785e+00 4.271214653921846072e+00 8.817748636292705475e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.500000000000000000e+00 4.271214653921846072e+00 6.026741525402455066e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.533333333333333215e+00 4.271214653921846072e+00 4.118804579614919793e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.566666666666666430e+00 4.271214653921846072e+00 2.815027210875260914e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.600000000000000089e+00 4.271214653921846072e+00 1.924010548122471932e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.633333333333333304e+00 4.271214653921846072e+00 1.314910125717570499e-20 3.704064343778035867e-02 2.035310267494534475e-01
3.666666666666666519e+00 4.271214653921846072e+00 8.986849733221469652e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.699999999999999734e+00 4.271214653921846072e+00 6.142318487832192191e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.733333333333333393e+00 4.271214653921846072e+00 4.197792357694828830e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.766666666666666607e+00 4.271214653921846072e+00 2.869011987361623355e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.799999999999999822e+00 4.271214653921846072e+00 1.960907981652263651e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.833333333333333481e+00 4.271214653921846072e+00 1.340126624145110517e-21 3.704064343778035867e-02 2.035310267494534475e-01
3.866666666666666696e+00 4.271214653921846072e+00 9.159193741936627620e-22 3.704064343778035867e-02 2.035310267494534475e-01
3.899999999999999911e+00 4.271214653921846072e+00 6.260111910713737296e-22 3.704064343778035867e-02 2.035310267494534475e-01
3.933333333333333126e+00 4.271214653921846072e+00 4.278294912444885660e-22 3.704064343778035867e-02 2.035310267494534475e-01
3.966666666666666785e+00 4.271214653921846072e+00 2.924032049077566886e-22 3.704064343778035867e-02 2.035310267494534475e-01
4.000000000000000000e+00 4.271214653921846072e+00 1.998513010367742944e-22 3.704064343778035867e-02 2.035310267494534475e-01
4.033333333333333215e+00 4.271214653921846072e+00 1.365826708317805131e-22 3.704064343778035867e-02 2.035310267494534475e-01
4.066666666666666430e+00 4.271214653921846072e+00 9.334842852909217654e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.099999999999999645e+00 4.271214653921846072e+00 6.380164299896335189e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.133333333333332860e+00 4.271214653921846072e+00 4.360341293275191313e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.166666666666666963e+00 4.271214653921846072e+00 2.980107250055584156e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.200000000000000178e+00 4.271214653921846072e+00 2.036839204073079511e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.233333333333333393e+00 4.271214653921846072e+00 1.392019652131203474e-23 3.704064343778035867e-02 2.035310267494534475e-01
4.266666666666666607e+00 4.271214653921846072e+00 9.513860449258828112e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.299999999999999822e+00 4.271214653921846072e+00 6.502518976378869763e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.333333333333333037e+00 4.271214653921846072e+00 4.443961106686704673e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.366666666666666252e+00 4.271214653921846072e+00 3.037257825076031696e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.400000000000000355e+00 4.271214653921846072e+00 2.075900392805373823e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.433333333333333570e+00 4.271214653921846072e+00 1.418714907329664559e-24 3.704064343778035867e-02 2.035310267494534475e-01
4.466666666666666785e+00 4.271214653921846072e+00 9.696311129625784817e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.500000000000000000e+00 4.271214653921846072e+00 6.627220091942512271e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.533333333333333215e+00 4.271214653921846072e+00 4.529184526954809968e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.566666666666666430e+00 4.271214653921846072e+00 3.095504396968744186e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.599999999999999645e+00 4.271214653921846072e+00 2.115710671825294246e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.633333333333332860e+00 4.271214653921846072e+00 1.445922106917014300e-25 3.704064343778035867e-02 2.035310267494534475e-01
4.666666666666666963e+00 4.271214653921846072e+00 9.882260731481436900e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.700000000000000178e+00 4.271214653921846072e+00 6.754312645082774305e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.733333333333333393e+00 4.271214653921846072e+00 4.616042307017663829e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.766666666666666607e+00 4.271214653921846072e+00 3.154867984054978916e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.799999999999999822e+00 4.271214653921846072e+00 2.156284406703257002e-26 3.704064343778035867e-02 2.035310267494534475e-01
