# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
3.302390694713705499e-02 2.922977867659999895e-01 2.829837130426236524e-01 1.457315466967203654e-01 1.817956018219515357e-01
3.399231582322002204e-02 2.940652559649999942e-01 2.844566372189806236e-01 1.498147066921956261e-01 1.817956018219515357e-01
3.498912278535556281e-02 2.958628563299999792e-01 2.859510017167660179e-01 1.539512220074583659e-01 1.817956018219515357e-01
3.601516059263060870e-02 2.976911251639999811e-01 2.874671186276611667e-01 1.581401407888352040e-01 1.817956018219515357e-01
3.707128642435872368e-02 2.995506481069999949e-01 2.890053045862468473e-01 1.623804815634851961e-01 1.817956018219515357e-01
3.815838259619056677e-02 3.014419964989999978e-01 2.905658808361306633e-01 1.666712345561244257e-01 1.817956018219515357e-01
3.927735729722376529e-02 3.033657674610000243e-01 2.921491732970373789e-01 1.710113630206346880e-01 1.817956018219515357e-01
4.042914534872842774e-02 3.053225440819999914e-01 2.937555126328761368e-01 1.753998045836742126e-01 1.817956018219515357e-01
4.161470898512160260e-02 3.073129580130000149e-01 2.953852343207981068e-01 1.798354725974782020e-01 1.817956018219515357e-01
4.283503865784359793e-02 3.093376308490000115e-01 2.970386787212592195e-01 1.843172574991125134e-01 1.817956018219515357e-01
4.409115386280754861e-02 3.113972005530000198e-01 2.987161911491034161e-01 1.888440281735247750e-01 1.817956018219515357e-01
4.538410399211332408e-02 3.134923176419999735e-01 3.004181219456799057e-01 1.934146333178187738e-01 1.817956018219515357e-01
4.671496921073779729e-02 3.156236450100000090e-01 3.021448265520105814e-01 1.980279028042703504e-01 1.817956018219515357e-01
4.808486135893329239e-02 3.177918538649999736e-01 3.038966655830223074e-01 2.026826490396883285e-01 1.817956018219515357e-01
4.949492488108862137e-02 3.199976545750000123e-01 3.056740049028597861e-01 2.073776683188230385e-01 1.817956018219515357e-01
5.094633778182846434e-02 3.222417332429999837e-01 3.074772157012949370e-01 2.121117421696175620e-01 1.817956018219515357e-01
5.244031261014964196e-02 3.245248146949999968e-01 3.093066745712478860e-01 2.168836386881956291e-01 1.817956018219515357e-01
5.397809747241707340e-02 3.268476355919999743e-01 3.111627635874374409e-01 2.216921138615818021e-01 1.817956018219515357e-01
5.556097707506484074e-02 3.292109414470000273e-01 3.130458703861751513e-01 2.265359128762443053e-01 1.817956018219515357e-01
5.719027379787430115e-02 3.316155007189999782e-01 3.149563882463217168e-01 2.314137714106594690e-01 1.817956018219515357e-01
5.886734879872543985e-02 3.340620791469999795e-01 3.168947161714218419e-01 2.363244169101918757e-01 1.817956018219515357e-01
6.059360315074419079e-02 3.365514833639999814e-01 3.188612589730340785e-01 2.412665698426879335e-01 1.817956018219515357e-01
6.237047901279653417e-02 3.390845189660000036e-01 3.208564273552743096e-01 2.462389449332843538e-01 1.817956018219515357e-01
6.419946083430617956e-02 3.416620117349999930e-01 3.228806380005893040e-01 2.512402523770274620e-01 1.817956018219515357e-01
6.608207659540324408e-02 3.442848044240000016e-01 3.249343136567790502e-01 2.562691990280048793e-01 1.817956018219515357e-01
6.801989908343965274e-02 3.469537559249999958e-01 3.270178832252862433e-01 2.613244895637870102e-01 1.817956018219515357e-01
7.001454720693739420e-02 3.496697450110000105e-01 3.291317818507701887e-01 2.664048276240699176e-01 1.817956018219515357e-01
7.206768734806801024e-02 3.524336646999999823e-01 3.312764510119848849e-01 2.715089169225134991e-01 1.817956018219515357e-01
7.418103475479248532e-02 3.552464326659999783e-01 3.334523386139801038e-01 2.766354623308539540e-01 1.817956018219515357e-01
7.635635497382513293e-02 3.581089689129999809e-01 3.356598990816445083e-01 2.817831709344688629e-01 1.817956018219515357e-01
7.859546532561850762e-02 3.610222299290000159e-01 3.378995934546104030e-01 2.869507530586576372e-01 1.817956018219515357e-01
8.090023642260096848e-02 3.639871843329999801e-01 3.401718894835395468e-01 2.921369232649869141e-01 1.817956018219515357e-01
8.327259373193655889e-02 3.670048187680000074e-01 3.424772617278113440e-01 2.973404013171406790e-01 1.817956018219515357e-01
8.571451918411115978e-02 3.700761358049999838e-01 3.448161916546322869e-01 3.025599131157889476e-01 1.817956018219515357e-01
8.822805282869021493e-02 3.732021715589999844e-01 3.471891677395884113e-01 3.077941916020752178e-01 1.817956018219515357e-01
9.081529453863057544e-02 3.763839734070000276e-01 3.495966855686613584e-01 3.130419776293945633e-01 1.817956018219515357e-01
9.347840576456997730e-02 3.796226054349999823e-01 3.520392479417293607e-01 3.183020208032108500e-01 1.817956018219515357e-01
9.621961134056086773e-02 3.829191567820000031e-01 3.545173649775749669e-01 3.235730802887326063e-01 1.817956018219515357e-01
9.904120134275569420e-02 3.862747478169999971e-01 3.570315542204210990e-01 3.288539255863320854e-01 1.817956018219515357e-01
1.019455330025976492e-01 3.896905063619999776e-01 3.595823407480177591e-01 3.341433372746605568e-01 1.817956018219515357e-01
1.049350326761147312e-01 3.931675937949999922e-01 3.621702572813029208e-01 3.394401077214739826e-01 1.817956018219515357e-01
1.080121978709621400e-01 3.967071881270000100e-01 3.647958442956583669e-01 3.447430417622404097e-01 1.817956018219515357e-01
1.111795993329062898e-01 4.003104932479999989e-01 3.674596501337857868e-01 3.500509573466578095e-01 1.817956018219515357e-01
1.144398831934950039e-01 4.039787387120000184e-01 3.701622311202262816e-01 3.553626861532682146e-01 1.817956018219515357e-01
1.177957731807059288e-01 4.077131726920000254e-01 3.729041516775459808e-01 3.606770741723946405e-01 1.817956018219515357e-01
1.212500728944210793e-01 4.115150764080000023e-01 3.756859844442131391e-01 3.659929822576841740e-01 1.817956018219515357e-01
1.248056681486296032e-01 4.153857489209999976e-01 3.785083103941918603e-01 3.713092866465813047e-01 1.817956018219515357e-01
1.284655293823132316e-01 4.193265170430000022e-01 3.813717189582755962e-01 3.766248794500936525e-01 1.817956018219515357e-01
1.322327141410298279e-01 4.233387394670000137e-01 3.842768081471871211e-01 3.819386691122573785e-01 1.817956018219515357e-01
1.361103696312690459e-01 4.274237943020000041e-01 3.872241846764709061e-01 3.872495808397420358e-01 1.817956018219515357e-01
1.401017353497120421e-01 4.315830909110000002e-01 3.902144640932030395e-01 3.925565570020658201e-01 1.817956018219515357e-01
1.442101457895935412e-01 4.358180644779999779e-01 3.932482709045455049e-01 3.978585575029281451e-01 1.817956018219515357e-01
1.484390332264256540e-01 4.401301819289999973e-01 3.963262387081716298e-01 4.031545601231891207e-01 1.817956018219515357e-01
1.527919305854132659e-01 4.445209309359999805e-01 3.994490103245906809e-01 4.084435608360570402e-01 1.817956018219515357e-01
1.572724743929532765e-01 4.489918384750000158e-01 4.026172379313983640e-01 4.137245740950607487e-01 1.817956018219515357e-01
1.618844078146852161e-01 4.535444529579999995e-01 4.058315831994802059e-01 4.189966330954108531e-01 1.817956018219515357e-01
1.666315837826324864e-01 4.581803602419999843e-01 4.090927174312002368e-01 4.242587900093715003e-01 1.817956018219515357e-01
1.715179682140439144e-01 4.629011731820000253e-01 4.124013217005987331e-01 4.295101161962762149e-01 1.817956018219515357e-01
1.765476433246260524e-01 4.677085345259999749e-01 4.157580869956314373e-01 4.347497023878406086e-01 1.817956018219515357e-01
1.817248110389361182e-01 4.726041232859999885e-01 4.191637143624804551e-01 4.399766588494369302e-01 1.817956018219515357e-01
1.870537965007808279e-01 4.775896465209999997e-01 4.226189150519636950e-01 4.451901155180005842e-01 1.817956018219515357e-01
1.925390516865571888e-01 4.826668480440000075e-01 4.261244106680773802e-01 4.503892221172542953e-01 1.817956018219515357e-01
1.981851591245513966e-01 4.878375037039999751e-01 4.296809333186992208e-01 4.555731482509356445e-01 1.817956018219515357e-01
2.039968357233061524e-01 4.931034239359999849e-01 4.332892257684868853e-01 4.607410834747261430e-01 1.817956018219515357e-01
2.099789367122511519e-01 4.984664526620000147e-01 4.369500415940008042e-01 4.658922373475750667e-01 1.817956018219515357e-01
2.161364596978903874e-01 5.039284712099999508e-01 4.406641453410850562e-01 4.710258394631195444e-01 1.817956018219515357e-01
2.224745488389370807e-01 5.094913973169999943e-01 4.444323126845402538e-01 4.761411394619012860e-01 1.817956018219515357e-01
